Area ID,Area Name,Battle Type,Doll ID,Type,Name,Level,MOD,Link,Max HP,Crit.Rate,Crit.Damage,Armor Pen.,Damage,Accuracy,Evasion,Rate of Fire,Armor,Rounds,Recovery,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Score Prediction (1-Fairy),Score Prediction (2-Fairy),Score Prediction (3-Fairy),Score Prediction (4-Fairy),Rank
914,Ele.4,Day,20220,HG,MP-443 Mod,115,2,5,390,50%,150%,8,53,81,111,60,0,0,0,150,1,10,10,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3969,545,654,764,873,16
914,Ele.4,Day,118,AR,9A-91,100,0,5,580,68%,150%,15,82,54,55,103,0,0,0,150,1,10,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6234,545,654,763,872,17
914,Ele.4,Day,20171,AR,Ribeyrolles Mod,115,2,5,590,20%,100%,15,107,83,46,92,0,0,0,150,1,10,10,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6199,542,650,759,867,18
914,Ele.4,Day,115,SMG,Suomi,100,0,5,1100,5%,150%,8,39,46,106,92,0,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),6019,541,650,758,866,19
914,Ele.4,Day,20008,HG,Makarov Mod,115,2,5,340,40%,150%,8,47,70,157,61,0,0,0,150,1,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3926,539,647,755,863,20
914,Ele.4,Day,54,AR,M16A1,100,0,5,605,20%,150%,15,70,29,55,65,31,0,0,100,0,8,0,HV (Ammo) (5-Star),Plate (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),6159,538,646,754,862,21
914,Ele.4,Day,62,AR,Gr G41,100,0,5,635,68%,150%,15,98,61,62,77,0,0,0,100,0,10,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6163,539,647,754,862,22
914,Ele.4,Day,206,AR,AK-12,100,0,5,550,20%,100%,15,102,80,55,99,0,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6107,534,641,748,854,23
914,Ele.4,Day,20064,AR,Gr G36 Mod,115,2,5,645,20%,100%,15,92,83,49,99,0,0,0,150,1,10,10,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6089,532,639,745,852,24
914,Ele.4,Day,330,AR,FX-05,90,0,5,525,20%,100%,15,89,83,46,91,0,0,0,100,0,8,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5063,531,637,744,850,25
914,Ele.4,Day,20104,SMG,Gr G36c Mod,115,3,5,1080,5%,150%,8,55,47,121,84,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),6993,524,629,734,839,26
914,Ele.4,Day,20143,SMG,RO635 Mod,116,3,5,1035,5%,100%,8,64,48,88,121,0,0,0,200,1,10,10,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),6994,524,629,734,839,27
914,Ele.4,Day,20032,SMG,Micro Uzi Mod,116,3,5,880,5%,100%,8,69,51,95,128,0,0,0,200,1,10,10,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6982,523,628,733,837,28
914,Ele.4,Day,242,HG,P22,100,0,5,350,45%,150%,8,45,70,156,62,0,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3802,522,627,731,836,29
914,Ele.4,Day,20101,SMG,UMP9 Mod,115,3,5,900,5%,100%,8,74,35,111,112,0,0,0,200,1,10,10,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6905,517,621,725,828,30
914,Ele.4,Day,4,HG,Python,100,0,5,350,70%,150%,8,62,106,107,49,0,0,0,100,0,10,0,RMR (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),X Exo (Body) (5-Star),3756,516,619,723,826,31
914,Ele.4,Day,166,HG,CZ75,100,0,5,330,50%,150%,8,56,86,98,66,0,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3759,516,620,723,826,32
914,Ele.4,Day,20026,SMG,Gr MP5 Mod,115,3,5,900,5%,150%,8,55,32,155,90,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6881,516,619,722,825,33
914,Ele.4,Day,20071,AR,Galil Mod,115,3,5,630,20%,100%,15,96,87,51,90,0,0,0,200,1,10,10,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5867,513,616,718,821,34
914,Ele.4,Day,233,HG,Px4 Storm,100,0,5,340,40%,150%,8,52,73,143,57,0,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3699,508,610,712,813,35
914,Ele.4,Day,96,HG,Grizzly,100,0,5,430,50%,150%,8,55,74,100,54,0,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),3698,508,610,711,813,36
914,Ele.4,Day,250,HG,HS2000,100,0,5,360,50%,150%,8,50,85,112,62,0,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3688,507,608,709,811,37
914,Ele.4,Day,1018,HG,Sei Asagiri,100,0,5,425,20%,150%,8,47,62,123,53,0,0,0,100,0,10,0,SF Taclight (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),3654,502,602,703,803,38
914,Ele.4,Day,27,SMG,Skorpion,100,0,5,795,5%,100%,8,61,44,88,115,0,0,0,100,0,10,0,Processor Chip (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),Red Dot (Acc) (5-Star),5560,500,600,700,800,39
914,Ele.4,Day,1017,HG,Jill Stingray,100,0,5,400,50%,150%,8,41,76,136,55,0,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3632,499,599,699,799,40
914,Ele.4,Day,303,HG,HP-35,100,0,5,380,50%,150%,8,48,88,114,58,0,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3633,499,599,699,799,41
914,Ele.4,Day,142,HG,Five-seven,100,0,5,315,50%,150%,8,48,80,122,66,0,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3616,497,596,696,795,42
914,Ele.4,Day,106,AR,FAL,100,0,5,660,20%,100%,15,95,76,40,96,0,0,0,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5678,496,596,695,794,43
914,Ele.4,Day,73,AR,AUG,93,0,5,585,85%,115%,15,90,56,46,98,0,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5660,495,594,693,792,44
914,Ele.4,Day,1032,AR,Medusa,90,0,5,575,30%,100%,15,96,85,46,94,0,0,0,100,0,8,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),5590,489,586,684,782,45
914,Ele.4,Day,20005,HG,M1895 Mod,115,2,5,355,40%,150%,8,48,53,154,45,0,0,0,150,1,10,10,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3558,489,587,684,782,46
914,Ele.4,Day,20091,HG,MP-446 Mod,115,2,5,340,40%,150%,8,48,63,117,60,0,0,0,150,1,10,10,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3544,487,584,682,779,47
914,Ele.4,Day,1027,AR,Angelica,91,0,5,580,78%,150%,15,90,55,65,73,0,0,0,100,0,8,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),5546,485,582,679,776,48
914,Ele.4,Day,20002,HG,M1911 Mod,115,2,5,370,40%,150%,8,46,57,115,58,0,0,0,150,1,10,10,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3513,483,579,676,772,49
914,Ele.4,Day,20103,SMG,UMP45 Mod,117,3,5,975,30%,175%,8,49,17,139,83,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6415,481,577,673,769,50
914,Ele.4,Day,72,AR,TAR-21,90,0,5,500,68%,150%,15,84,47,64,87,0,0,0,100,0,8,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),5377,470,564,658,752,51
914,Ele.4,Day,99,HG,Gr Mk23,100,0,5,400,40%,150%,8,46,56,100,63,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3374,463,556,649,742,52
914,Ele.4,Day,294,HG,Webley,91,0,5,410,40%,150%,8,38,63,123,55,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3370,463,556,648,741,53
914,Ele.4,Day,357,HG,Rhino,90,0,5,345,60%,150%,8,49,74,104,55,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3364,462,555,647,740,54
914,Ele.4,Day,272,HG,Desert Eagle,93,0,5,350,60%,150%,8,56,57,95,54,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3358,461,554,646,738,55
914,Ele.4,Day,285,HG,C-93,90,0,5,300,40%,150%,8,48,60,124,62,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3310,455,546,637,728,56
914,Ele.4,Day,20136,SMG,PP-19 Mod,115,2,5,945,5%,150%,8,39,46,122,90,0,0,0,150,1,10,10,T Exo (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),6033,452,542,633,723,57
914,Ele.4,Day,119,AR,OTs-14,100,0,5,550,68%,180%,15,82,57,57,65,0,0,0,100,0,10,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Focus Chip (Body) (5-Star),5133,449,538,628,718,58
914,Ele.4,Day,215,AR,MDR,90,0,5,565,68%,180%,15,91,49,50,64,0,0,0,100,0,8,0,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Focus Chip (Body) (5-Star),5118,447,537,626,716,59
914,Ele.4,Day,135,SMG,SR-3MP,100,0,5,970,5%,150%,8,52,33,116,90,0,0,0,100,0,10,0,T Exo (Body) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),5973,447,537,627,716,60
914,Ele.4,Day,127,SMG,Type79,100,0,5,970,5%,150%,15,53,43,109,83,0,0,0,100,0,10,0,T Exo (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),Red Dot (Acc) (5-Star),5920,444,532,621,710,61
914,Ele.4,Day,212,HG,K5,93,0,5,320,60%,150%,8,45,52,111,60,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3171,436,523,610,697,62
914,Ele.4,Day,1019,SMG,Dorothy Haze,100,0,5,880,5%,150%,8,47,47,131,78,0,0,0,150,1,10,0,T Exo (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),Red Dot (Acc) (5-Star),5811,435,522,610,697,63
914,Ele.4,Day,1009,HG,El Clear,90,0,5,315,40%,150%,8,46,59,114,59,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3167,435,522,609,696,64
914,Ele.4,Day,20125,MG,Gr MG4 Mod,115,3,5,925,40%,150%,615,105,79,39,139,0,15,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),MG Box (Body) (5-Star),17325,433,519,606,693,65
914,Ele.4,Day,245,SMG,P90,91,0,5,910,5%,150%,8,40,25,135,90,0,0,0,100,0,10,0,T Exo (Body) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),5723,429,515,600,686,66
914,Ele.4,Day,126,HG,NZ75,90,0,5,345,50%,150%,8,42,60,126,61,0,0,0,100,0,1,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3089,424,509,594,679,67
914,Ele.4,Day,20,SMG,Vector,100,0,5,925,5%,150%,8,41,42,110,100,0,0,0,100,0,10,0,T Exo (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),5616,421,505,589,673,68
914,Ele.4,Day,1028,SMG,Agent Vector,100,0,5,925,5%,150%,8,41,42,110,100,0,0,0,100,0,10,0,T Exo (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),5616,421,505,589,673,69
914,Ele.4,Day,331,HG,Kolibri,91,0,5,315,40%,150%,8,24,57,169,56,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3012,414,496,579,662,70
914,Ele.4,Day,1029,AR,Agent 416,92,0,5,585,68%,150%,15,66,46,79,74,0,0,0,100,0,8,0,Optical (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),T Exo (Body) (5-Star),4717,412,495,577,660,71
914,Ele.4,Day,16,SMG,Thompson,90,0,5,1130,5%,150%,8,39,42,94,79,0,0,0,100,0,8,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),5495,412,494,576,659,72
914,Ele.4,Day,168,HG,Spitfire,90,0,5,330,40%,150%,8,42,58,114,58,0,0,0,100,0,8,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),2999,412,494,577,659,73
914,Ele.4,Day,14,HG,Astra,90,0,5,380,40%,150%,8,47,44,111,50,0,0,0,100,0,8,0,Supp (Silencer) (5-Star),Sp. Eq (Exclusive) (5-Star),T Exo (Body) (5-Star),2991,411,493,575,658,74
914,Ele.4,Day,354,HG,ZiP .22,90,0,5,315,40%,150%,8,40,38,127,61,0,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),2966,407,489,570,652,75
914,Ele.4,Day,311,SMG,Lusa,90,0,5,970,5%,150%,8,38,43,102,90,0,0,0,100,0,10,0,T Exo (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),5361,402,482,562,643,76
914,Ele.4,Day,20063,AR,Gr G3 Mod,115,2,5,565,68%,150%,15,58,60,78,64,0,0,0,150,1,10,10,Optical (Acc) (5-Star),-,T Exo (Body) (5-Star),4473,391,469,547,626,77
914,Ele.4,Day,172,AR,Am RFB,95,0,5,510,78%,168%,15,65,69,85,53,0,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),-,T Exo (Body) (5-Star),4424,387,464,541,619,78
914,Ele.4,Day,105,AR,OTs-12,90,0,5,500,68%,195%,15,72,53,53,60,0,0,0,100,0,8,0,Optical (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),Focus Chip (Body) (5-Star),4369,382,458,535,611,79
914,Ele.4,Day,356,AR,A-545,90,0,5,525,68%,180%,15,65,52,48,69,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4362,381,458,534,610,80
914,Ele.4,Day,20200,RF,XM3 Mod,115,3,5,430,88%,175%,195,166,112,38,37,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7629,381,457,534,610,81
914,Ele.4,Day,20053,RF,NTW-20 Mod,115,3,5,475,88%,175%,195,205,94,35,32,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7610,380,456,532,608,82
914,Ele.4,Day,361,AR,QBZ-191,90,0,5,575,68%,180%,15,65,50,45,66,0,0,0,100,0,10,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4346,380,456,532,608,83
914,Ele.4,Day,194,AR,K2,90,0,5,605,65%,180%,15,65,57,41,66,0,0,0,100,0,8,0,Sp. Eq (Exclusive) (5-Star),-,Focus Chip (Body) (5-Star),4340,379,455,531,607,84
914,Ele.4,Day,318,AR,VHS,90,0,5,550,68%,180%,15,66,52,46,65,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4272,373,448,523,598,85
914,Ele.4,Day,20252,RF,KSVK Mod,115,3,5,450,88%,175%,195,199,99,36,32,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7447,372,446,521,595,86
914,Ele.4,Day,243,AR,64 Shiki,90,0,5,590,68%,198%,15,76,60,41,50,0,0,0,100,0,8,0,Sp. Eq (Exclusive) (5-Star),-,Focus Chip (Body) (5-Star),4249,371,446,520,594,87
914,Ele.4,Day,338,AR,SIG MCX,90,0,5,550,68%,180%,15,59,55,45,70,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4226,369,443,517,591,88
914,Ele.4,Day,306,AR,AK-Alfa,90,0,5,550,68%,180%,15,65,52,50,62,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4181,365,439,512,585,89
914,Ele.4,Day,290,AR,89 Shiki,90,0,5,575,68%,180%,15,63,46,44,67,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4169,364,437,510,583,90
914,Ele.4,Day,20037,RF,M14 Mod,115,3,5,430,88%,175%,195,127,94,33,44,0,0,0,200,1,10,10,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),7264,363,435,508,581,91
914,Ele.4,Day,129,AR,Type95,90,0,5,550,68%,180%,15,70,51,45,59,0,0,0,100,0,8,0,Sp. Eq (Exclusive) (5-Star),-,Focus Chip (Body) (5-Star),4142,362,434,507,579,92
914,Ele.4,Day,236,AR,K11,90,0,5,640,68%,180%,15,62,53,36,63,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4097,358,430,501,573,93
914,Ele.4,Day,214,AR,ADS,90,0,5,575,68%,180%,15,59,52,44,65,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4051,354,425,496,567,94
914,Ele.4,Day,234,SMG,JS 9,91,0,5,860,5%,100%,15,33,45,84,93,0,0,0,100,0,10,0,Processor Chip (Body) (3-Star),Flare (Ammo) (5-Star),Red Dot (Acc) (5-Star),4672,350,420,490,560,95
914,Ele.4,Day,181,AR,T91,90,0,5,585,68%,180%,15,61,44,45,64,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4001,350,420,490,560,96
914,Ele.4,Day,340,AR,TKB-408,90,0,5,550,68%,180%,15,64,50,47,60,0,0,0,100,0,8,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4005,350,420,490,560,97
914,Ele.4,Day,11,HG,P08,100,0,5,350,40%,150%,15,33,49,94,54,0,0,0,100,0,1,0,Supp (Silencer) (5-Star),Flare (Ammo) (5-Star),-,2542,349,419,489,559,98
914,Ele.4,Day,20095,RF,Type88 Mod,115,3,5,520,90%,175%,195,145,79,44,37,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),6976,348,418,488,558,99
914,Ele.4,Day,315,SMG,AUG Para,90,0,5,880,5%,100%,15,35,45,80,92,0,0,0,100,0,8,0,Processor Chip (Body) (3-Star),Flare (Ammo) (5-Star),Red Dot (Acc) (5-Star),4626,346,416,485,555,100
914,Ele.4,Day,50,RF,Lee Enfield,100,0,5,400,88%,175%,195,142,82,42,40,0,0,0,100,0,10,0,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),6880,344,412,481,550,101
914,Ele.4,Day,20201,RF,Gepard M1 Mod,115,3,5,450,88%,175%,215,187,95,34,30,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6863,343,411,480,549,102
914,Ele.4,Day,266,RF,R93,99,0,5,405,88%,175%,195,139,101,36,39,0,0,0,100,0,10,0,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6839,341,410,478,547,103
914,Ele.4,Day,48,RF,WA2000,100,0,5,440,90%,175%,195,142,87,32,39,0,0,0,100,0,10,0,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),6827,341,409,477,546,104
914,Ele.4,Day,1024,RF,Rico,100,0,5,400,88%,195%,195,137,84,35,37,0,0,0,100,0,10,0,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),6827,341,409,477,546,105
914,Ele.4,Day,316,RF,General Liu,97,0,5,390,88%,175%,195,143,90,31,39,0,0,0,100,0,10,0,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6745,337,404,472,539,106
914,Ele.4,Day,20051,RF,FF FN49 Mod,115,3,5,475,88%,175%,195,137,73,38,39,0,0,0,200,1,10,10,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),6743,337,404,472,539,107
914,Ele.4,Day,20049,RF,Type56R Mod,115,3,5,475,88%,175%,195,137,81,43,37,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6663,333,399,466,533,108
914,Ele.4,Day,173,MG,PKP,90,0,5,785,35%,150%,515,97,61,27,118,0,15,0,100,0,10,0,SLAP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),MG Box (Body) (5-Star),13306,332,399,465,532,109
914,Ele.4,Day,20044,RF,SV-98 Mod,115,2,5,430,88%,175%,195,140,88,32,37,0,0,0,150,1,10,10,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6611,330,396,462,528,110
914,Ele.4,Day,187,AR,Ak 5,90,0,5,550,20%,100%,15,66,82,37,76,0,0,0,100,0,8,0,Sp. Eq (Exclusive) (5-Star),-,Processor Chip (Body) (3-Star),3747,327,393,459,524,111
914,Ele.4,Day,287,AR,SIG-556,90,0,5,575,20%,100%,15,64,59,44,77,0,0,0,100,0,8,0,EOT (Holographic) (5-Star),-,Processor Chip (Body) (3-Star),3736,326,392,457,523,112
914,Ele.4,Day,198,RF,Carcano M91/38,100,0,5,365,88%,175%,195,154,95,47,34,0,0,0,100,0,10,0,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6466,323,387,452,517,113
